Y,X1,X2
15239,49,311
110201,173,637
522328,872,599
4095,15,273
333132,782,426
519600,600,866
384071,887,433
209145,573,365
569940,826,690
134552,242,556
325728,351,928
115710,435,266
5175,345,15
709632,792,896
532272,853,624
827640,855,968
552,2,276
96134,142,677
141550,298,475
58328,634,92
53998,266,203
896368,968,926
22400,100,224
560094,831,674
395316,711,556
151980,170,894
12540,95,132
7376,8,922
884864,992,892
318588,834,382
151409,227,667
72473,137,529
533466,999,534
23680,592,40
184552,782,236
329332,586,562
62648,164,382
8015,229,35
148830,615,242
272118,682,399
29696,464,64
70788,204,347
675296,752,898
681210,870,783
198970,202,985
194012,676,287
769125,879,875
95472,816,117
341671,349,979
462346,529,874
658940,940,701
125064,324,386
66177,129,513
50402,638,79
356700,820,435
163520,292,560
22950,270,85
60384,111,544
224280,890,252
544500,605,900
310236,618,502
112832,172,656
47160,655,72
14028,21,668
498680,685,728
27610,502,55
139400,200,697
19662,113,174
127839,991,129
161070,885,182
57113,287,199
24225,85,285
348300,430,810
530043,547,969
370208,503,736
152892,274,558
718848,864,832
278400,580,480
491526,747,658
303366,699,434
613305,693,885
584925,825,709
441142,893,494
98761,107,923
76890,330,233
49700,994,50
1730,5,346
22515,95,237
710210,790,899
16484,317,52
33150,34,975
256316,278,922
11730,69,170
341388,981,348
691008,708,976
789921,909,869
608640,951,640
723246,894,809
690999,797,867
137293,767,179
66960,180,372
450680,593,760
30158,34,887
424080,456,930
306079,307,997
102396,644,159
205746,647,318
190300,692,275
6608,118,56
64962,162,401
132312,296,447
1407,201,7
333102,618,539
327590,697,470
169692,948,179
3356,4,839
376528,808,466
458640,910,504
608946,962,633
62205,715,87
20033,871,23
772644,961,804
20116,188,107
64464,948,68
129549,217,597
163527,273,599
395200,494,800
132431,167,793
222504,508,438
157200,600,262
8798,166,53
68310,506,135
54777,57,961
178752,798,224
559488,752,744
313148,484,647
801021,893,897
325461,691,471
202304,218,928
55815,305,183
103958,118,881
272844,477,572
164724,636,259
431926,638,677
338546,754,449
227808,452,504
385263,513,751
208014,937,222
517524,707,732
204594,559,366
132468,581,228
50652,469,108
492150,965,510
44974,226,199
138574,359,386
884300,925,956
54570,510,107
196742,322,611
40198,199,202
322784,616,524
459885,713,645
188352,327,576
295064,479,616
119700,252,475
240777,863,279
559613,667,839
236778,589,402
43821,541,81
113900,335,340
335540,380,883
86172,172,501
220668,222,994
96876,897,108
10653,67,159
322964,526,614
670770,870,771
62274,194,321
8298,9,922
281520,680,414
304722,418,729
44556,188,237
186656,608,307
388251,723,537
346906,698,497
52836,518,102
185400,206,900
55080,405,136
91425,159,575
218683,577,379
376200,855,440
80433,81,993
13195,203,65
232806,241,966
294756,726,406
206565,293,705
367324,701,524
115070,622,185
197142,206,957
182707,607,301
7695,19,405
411145,691,595
142560,270,528
3934,281,14
55544,424,131
51832,88,589
394299,681,579
28836,162,178
832738,842,989
267085,455,587
182032,367,496
340533,471,723
229158,878,261
676500,820,825
238924,742,322
605862,694,873
79834,223,358
92232,189,488
228672,397,576
99475,575,173
113280,240,472
391527,459,853
10506,309,34
13197,159,83
509631,661,771
195912,907,216
277362,342,811
213634,479,446
7832,178,44
83040,120,692
202080,480,421
250929,569,441
307638,422,729
248,31,8
148604,766,194
280728,504,557
275196,646,426
321500,643,500
66990,174,385
240064,496,484
74976,142,528
230055,245,939
11328,96,118
27874,154,181
173089,313,553
33284,212,157
604107,669,903
298650,543,550
856494,918,933
607230,865,702
61655,95,649
892780,911,980
226695,635,357
381710,490,779
84800,265,320
180180,234,770
132030,405,326
280917,343,819
325910,545,598
275865,795,347
643260,710,906
103056,228,452
113139,967,117
338672,976,347
14559,633,23
206184,264,781
298701,481,621
41340,65,636
113919,127,897
135420,183,740
387436,404,959
221622,258,859
271272,762,356
148590,234,635
383780,620,619
37900,50,758
8126,17,478
309024,888,348
694806,699,994
145169,179,811
92391,897,103
217840,389,560
114873,177,649
51240,366,140
37888,256,148
177380,181,980
38135,145,263
123874,482,257
329945,385,857
93090,435,214
246000,250,984
339552,432,786
406098,462,879
83984,724,116
673296,676,996
96815,335,289
237444,564,421
256086,347,738
19604,338,58
342127,953,359
15125,25,605
326915,433,755
213730,638,335
50864,374,136
42880,335,128
482112,486,992
652380,996,655
56024,188,298
46364,692,67
27840,48,580
49024,64,766
327872,376,872
48861,549,89
50362,338,149
417105,713,585
301385,545,553
43589,479,91
765843,807,949
170066,403,422
10428,237,44
807594,958,843
58779,311,189
385020,558,690
318054,366,869
18270,609,30
34048,128,266
853740,930,918
233073,551,423
111780,276,405
624602,638,979
355096,952,373
159060,330,482
741910,845,878
99774,482,207
2145,15,143
134470,791,170
274188,438,626
533426,986,541
194304,768,253
39105,55,711
311872,443,704
160146,369,434
101660,340,299
791492,982,806
317730,445,714
123344,208,593
190740,220,867
209336,274,764
125125,275,455
531302,631,842
496336,926,536
657306,689,954
143010,210,681
891840,960,929
174840,376,465
11304,628,18
692375,725,955
281200,950,296
22050,450,49
503070,615,818
85170,102,835
252010,638,395
635500,775,820
199606,473,422
74151,693,107
861300,900,957
612872,664,923
295960,302,980
89268,519,172
10560,33,320
412902,522,791
636648,647,984
271880,971,280
79560,663,120
64428,273,236
161184,184,876
224749,331,679
617344,896,689
182988,221,828
415698,474,877
118737,711,167
811374,998,813
912,228,4
856350,865,990
462,77,6
610435,749,815
95120,328,290
190365,259,735
615654,702,877
55328,494,112
42944,61,704
639540,748,855
67818,381,178
355116,586,606
541291,919,589
74060,140,529
233046,321,726
86944,88,988
189840,678,280
8556,186,46
78088,172,454
35700,210,170
409840,940,436
52598,238,221
257606,302,853
65100,300,217
133136,424,314
2493,3,831
212686,551,386
638208,831,768
312274,386,809
93600,468,200
804248,878,916
28652,551,52
206437,539,383
302072,619,488
111663,171,653
386496,732,528
30555,63,485
174115,359,485
226380,231,980
56192,64,878
171355,215,797
462172,509,908
48636,579,84
102550,175,586
222119,571,389
381545,685,557
28044,369,76
120392,149,808
646611,751,861
44334,821,54
95676,357,268
865040,983,880
823521,831,991
74256,816,91
465423,599,777
996,1,996
126588,137,924
63924,84,761
305634,383,798
414640,568,730
475545,735,647
544880,695,784
144560,208,695
719100,900,799
120840,380,318
238804,454,526
142100,196,725
363356,532,683
473699,739,641
737426,782,943
205750,250,823
196377,977,201
17460,30,582
61875,275,225
727304,916,794
163371,177,923
575168,836,688
2568,24,107
144025,175,823
287045,307,935
68599,181,379
103005,327,315
38121,131,291
361251,979,369
138380,185,748
166830,830,201
487203,697,699
165024,864,191
487968,663,736
818688,832,984
697896,972,718
361400,556,650
19136,416,46
220896,354,624
400350,471,850
39360,123,320
132650,379,350
253232,952,266
710600,836,850
72760,680,107
107835,395,273
49140,117,420
687750,750,917
560706,678,827
248724,846,294
597464,658,908
5250,35,150
832993,889,937
754208,784,962
181158,831,218
424096,914,464
74304,108,688
3480,174,20
5850,90,65
346276,581,596
264320,590,448
462528,803,576
497694,761,654
320739,993,323
326781,741,441
317086,994,319
230300,245,940
166005,527,315
313904,368,853
47520,264,180
88750,142,625
559548,942,594
239904,476,504
21988,478,46
261703,533,491
90288,99,912
313045,685,457
428333,557,769
26182,106,247
317735,583,545
60102,63,954
577344,776,744
136890,234,585
353460,685,516
4540,20,227
780,20,39
52288,688,76
337940,554,610
10092,58,174
39732,129,308
202016,472,428
156128,656,238
130622,482,271
72285,395,183
508956,996,511
23322,507,46
185518,851,218
4485,345,13
282159,879,321
43400,175,248
480680,610,788
380835,837,455
194883,263,741
537311,941,571
22140,369,60
204815,685,299
37440,288,130
64064,91,704
190698,859,222
176806,511,346
16837,149,113
449384,754,596
1980,11,180
239580,330,726
404000,505,800
860640,880,978
105672,518,204
39996,606,66
148614,186,799
188038,631,298
41984,328,128
205170,210,977
132508,157,844
93094,523,178
89760,880,102
448448,539,832
149884,707,212
703925,925,761
518000,875,592
260869,581,449
670536,834,804
141220,460,307
203118,291,698
12363,39,317
181713,509,357
159775,581,275
672300,900,747
220180,404,545
968255,985,983
918380,977,940
16148,22,734
385728,984,392
212121,777,273
205086,514,399
375285,591,635
82593,133,621
336600,408,825
31694,106,299
84802,109,778
207480,285,728
577407,977,591
608268,879,692
2910,5,582
77184,288,268
137907,231,597
8928,279,32
514839,559,921
446091,723,617
6420,60,107
100750,650,155
215568,432,499
23150,463,50
53851,157,343
222768,306,728
217360,520,418
221088,336,658
75520,236,320
311712,408,764
133956,549,244
65764,164,401
52164,69,756
286082,457,626
617808,732,844
194656,616,316
74908,307,244
321080,698,460
297258,309,962
139740,685,204
217189,497,437
800,160,5
122904,216,569
16512,96,172
357504,399,896
247808,968,256
172,1,172
402124,916,439
541221,809,669
272796,716,381
31600,632,50
32880,120,274
52959,127,417
120988,596,203
58636,274,214
54,9,6
63,3,21
108,9,12
588,28,21
540,18,30
406,14,29
575,25,23
75,25,3
406,14,29
10,5,2
78,3,26
252,21,12
300,25,12
40,2,20
648,27,24
80,4,20
80,5,16
476,28,17
168,21,8
39,3,13
600,30,20
96,24,4
650,25,26
468,18,26
12,12,1
264,11,24
476,28,17
60,5,12
247,13,19
64,16,4
299,23,13
17,17,1
440,20,22
210,15,14
203,29,7
40,5,8
308,11,28
168,21,8
486,27,18
168,28,6
6,3,2
11,1,11
22,1,22
161,23,7
112,16,7
20,5,4
51,17,3
140,7,20
480,20,24
572,22,26
598,23,26
8,8,1
504,18,28
25,5,5
45,5,9
700,28,25
174,29,6
22,11,2
120,6,20
102,6,17
459,27,17
10,1,10
88,4,22
144,24,6
126,14,9
120,5,24
660,22,30
476,17,28
182,7,26
238,14,17
247,19,13
546,26,21
252,14,18
96,6,16
24,12,2
12,1,12
75,15,5
132,6,22
84,21,4
198,18,11
510,30,17
650,25,26
414,23,18
144,12,12
348,12,29
162,27,6
13,13,1
176,11,16
306,17,18
350,25,14
319,29,11
506,22,23
425,17,25
13,1,13
336,16,21
90,18,5
273,13,21
98,14,7
264,11,24
184,23,8
368,16,23
76,19,4
364,28,13
208,8,26
90,6,15
432,27,16
85,17,5
100,10,10
14,7,2
90,5,18
280,28,10
247,13,19
225,25,9
560,28,20
420,30,14
253,11,23
288,18,16
729,27,27
300,12,25
24,24,1
231,21,11
60,6,10
130,10,13
270,10,27
56,28,2
247,13,19
184,8,23
52,2,26
92,23,4
36,4,9
290,10,29
130,26,5
240,16,15
150,5,30
150,5,30
377,13,29
28,2,14
464,16,29
63,21,3
437,23,19
196,28,7
425,17,25
667,23,29
136,8,17
216,9,24
180,9,20
90,3,30
190,10,19
32,4,8
68,17,4
192,24,8
140,7,20
261,9,29
80,20,4
68,4,17
360,12,30
208,13,16
588,21,28
42,2,21
108,6,18
46,2,23
78,3,26
200,20,10
84,4,21
510,17,30
360,20,18
6,1,6
330,30,11
528,24,22
15,1,15
112,16,7
616,22,28
504,24,21
175,25,7
161,7,23
260,10,26
182,13,14
476,28,17
208,26,8
168,8,21
238,17,14
180,18,10
280,28,10
700,28,25
45,15,3
483,21,23
247,19,13
153,9,17
406,29,14
33,3,11
171,19,9
91,13,7
300,15,20
220,11,20
325,13,25
88,22,4
572,26,22
330,11,30
28,7,4
357,21,17
144,9,16
115,5,23
102,17,6
108,6,18
220,11,20
532,19,28
10,5,2
480,30,16
96,8,12
288,18,16
80,10,8
115,5,23
504,24,21
12,12,1
462,22,21
18,6,3
870,29,30
6,2,3
400,20,20
125,25,5
350,25,14
154,14,11
360,20,18
58,29,2
696,29,24
240,10,24
480,16,30
255,15,17
168,7,24
42,2,21
110,10,11
120,4,30
6,3,2
340,20,17
90,6,15
75,3,25
144,8,18
104,13,8
348,29,12
69,3,23
60,30,2
100,20,5
418,19,22
180,6,30
336,16,21
840,30,28
20,2,10
136,17,8
532,28,19
598,23,26
39,13,3
162,18,9
150,15,10
560,20,28
675,27,25
156,13,12
28,14,2
72,4,18
208,16,13
10,2,5
114,19,6
180,18,10
14,14,1
24,12,2
320,20,16
276,12,23
56,7,8
600,30,20
203,7,29
342,19,18
460,23,20
150,6,25
15,15,1
459,27,17
340,17,20
96,4,24
16,4,4
120,24,5
176,22,8
130,10,13
120,6,20
754,29,26
36,3,12
500,20,25
243,27,9
297,27,11
462,21,22
150,10,15
240,8,30
6,3,2
180,6,30
435,15,29
285,15,19
22,11,2
34,2,17
196,7,28
273,21,13
96,6,16
168,28,6
360,30,12
48,8,6
100,25,4
250,25,10
260,26,10
650,26,25
567,21,27
450,15,30
312,12,26
171,19,9
36,6,6
36,18,2
58,29,2
76,19,4
90,9,10
210,30,7
378,21,18
480,30,16
10,10,1
72,24,3
224,28,8
100,10,10
300,20,15
156,13,12
783,27,29
132,11,12
64,8,8
112,7,16
450,18,25
288,16,18
504,21,24
468,18,26
108,6,18
128,8,16
26,26,1
442,17,26
175,7,25
28,1,28
165,15,11
391,23,17
28,14,2
240,16,15
576,24,24
224,8,28
112,4,28
16,8,2
20,20,1
273,13,21
493,17,29
420,14,30
140,10,14
20,4,5
156,13,12
85,5,17
630,30,21
34,2,17
12,4,3
420,14,30
870,29,30
572,22,26
165,15,11
70,14,5
10,1,10
476,17,28
594,22,27
243,9,27
1,1,1
380,20,19
224,14,16
3,1,3
19,1,19
153,9,17
40,10,4
52,4,13
84,3,28
60,12,5
184,8,23
192,8,24
180,12,15
9,3,3
135,9,15
459701,529,869
81000,600,135
721920,768,940
200508,682,294
630594,954,661
120150,534,225
43000,1000,43
60630,470,129
395160,888,445
274752,848,324
403682,766,527
227443,787,289
191250,765,250
476346,806,591
168837,337,501
359775,533,675
130424,548,238
181000,200,905
256032,672,381
190632,507,376
89175,145,615
396136,676,586
3200,25,128
179998,602,299
23644,92,257
405860,455,892
234934,346,679
39447,487,81
316767,319,993
432468,738,586
88200,180,490
513086,938,547
287116,716,401
226746,442,513
245245,539,455
648524,788,823
596292,629,948
228436,598,382
26128,142,184
196474,509,386
378630,630,601
276146,559,494
538704,774,696
172920,393,440
373500,450,830
509736,536,951
156195,195,801
307304,428,718
113940,135,844
127086,354,359
57138,178,321
7605,45,169
378675,825,459
380380,665,572
452496,857,528
495060,669,740
292468,578,506
647200,809,800
415349,619,671
152106,502,303
636643,883,721
5778,107,54
316683,317,999
980,140,7
13485,145,93
697452,874,798
205779,287,717
516672,832,621
217854,273,798
158424,861,184
399168,693,576
232716,451,516
24021,157,153
43788,356,123
373746,501,746
35890,485,74
115710,665,174
158360,535,296
83304,104,801
598956,852,703
110685,157,705
23939,647,37
75795,155,489
37278,218,171
601594,886,679
100580,107,940
279660,708,395
130296,488,267
311363,557,559
113982,157,726
112942,149,758
16287,89,183
524450,617,850
226333,947,239
145562,146,997
367650,475,774
29070,646,45
78881,101,781
252600,421,600
428701,637,673
209933,233,901
806340,890,906
219725,935,235
688785,977,705
491232,544,903
424263,681,623
249312,672,371
316064,581,544
123140,470,262
467670,595,786
345312,654,528
320233,431,743
964180,970,994
377223,497,759
32946,57,578
60255,103,585
428783,823,521
97812,117,836
60348,564,107
584937,927,631
127575,175,729
242952,764,318
191394,294,651
300118,679,442
10413,267,39
108501,177,613
76475,437,175
77462,503,154
352428,683,516
7384,71,104
731538,874,837
336980,580,581
92272,146,632
474046,842,563
334565,385,869
255458,994,257
759240,999,760
12483,19,657
389752,412,946
536038,989,542
4920,410,12
572260,806,710
938561,989,949
40920,620,66
197584,932,212
712338,753,946
536832,932,576
2365,43,55
176190,210,839
199444,838,238
48642,201,242
148888,503,296
123576,228,542
351696,408,862
325973,797,409
482820,780,619
33596,74,454
353580,426,830
87447,849,103
90356,922,98
119930,895,134
17945,37,485
738204,908,813
346086,351,986
6960,10,696
96320,172,560
420462,426,987
35308,194,182
455490,630,723
204160,464,440
555732,718,774
274832,772,356
371276,919,404
24960,65,384
4536,9,504
296865,733,405
809260,941,860
88480,632,140
41118,979,42
509595,641,795
179706,491,366
81216,141,576
86736,278,312
72576,648,112
29055,745,39
47766,419,114
220457,779,283
487224,804,606
358462,442,811
24426,138,177
215160,264,815
80545,905,89
173305,685,253
6201,9,689
310464,693,448
401380,470,854
28690,302,95
760375,869,875
346104,874,396
270074,707,382
180294,906,199
440475,525,839
87945,533,165
116064,936,124
11886,21,566
249889,883,283
129646,913,142
594500,820,725
272244,294,926
192390,363,530
130174,194,671
82400,515,160
41808,624,67
465245,769,605
4088,7,584
34160,976,35
351080,524,670
218228,613,356
106572,214,498
103912,838,124
8925,255,35
5194,14,371
365762,398,919
223914,557,402
730584,876,834
5432,194,28
842452,953,884
85224,804,106
156940,236,665
29054,73,398
225008,343,656
717288,726,988
429513,543,791
227484,356,639
689466,906,761
328048,404,812
71187,183,389
137151,933,147
409431,653,627
21105,603,35
12806,19,674
38218,394,97
12056,88,137
17372,202,86
344367,747,461
84456,414,204
4794,51,94
22032,36,612
525654,551,954
651600,720,905
729228,907,804
136045,161,845
234572,676,347
301028,827,364
212926,469,454
157934,778,203
2358,131,18
421916,446,946
142040,530,268
221952,256,867
11500,250,46
23652,438,54
89271,273,327
505120,574,880
312754,598,523
135280,380,356
198240,944,210
646753,961,673
15440,20,772
100000,625,160
601394,778,773
276121,659,419
122388,282,434
8736,78,112
201135,253,795
689710,826,835
190593,351,543
543830,914,595
66400,166,400
339020,506,670
823650,867,950
213868,842,254
225624,474,476
219632,592,371
449540,910,494
629909,841,749
105222,494,213
116809,451,259
314053,509,617
25875,75,345
399360,512,780
594207,927,641
202818,231,878
893914,953,938
698555,715,977
129766,713,182
38456,92,418
400921,683,587
175051,907,193
730000,730,1000
154030,365,422
622644,979,636
31304,301,104
10149,51,199
342242,422,811
836352,968,864
232211,343,677
602921,929,649
2863,7,409
83286,126,661
5660,283,20
414720,864,480
473200,560,845
776963,851,913
238850,850,281
470580,506,930
757440,960,789
20447,161,127
137826,247,558
423186,562,753
15190,310,49
34138,101,338
2525,5,505
273573,807,339
219336,228,962
35376,44,804
157800,789,200
98933,127,779
206272,586,352
101745,285,357
866822,902,961
1812,906,2
156479,167,937
154287,651,237
13360,668,20
589407,889,663
42300,225,188
32490,190,171
24050,50,481
62325,277,225
230260,397,580
176225,475,371
250452,324,773
149319,423,353
466425,691,675
405594,609,666
22264,506,44
37158,563,66
124248,744,167
315315,455,693
80896,316,256
148472,536,277
60300,201,300
75555,115,657
197638,743,266
145488,168,866
635376,744,854
835413,991,843
308115,835,369
213786,214,999
320580,780,411
253551,379,669
241668,959,252
756900,841,900
55566,63,882
368232,804,458
257920,992,260
114271,229,499
200340,212,945
429660,770,558
449264,688,653
464505,537,865
34408,187,184
674064,906,744
770431,779,989
480256,938,512
309148,854,362
139150,242,575
195716,433,452
446736,656,681
366912,416,882
376380,410,918
18150,605,30
616402,622,991
531738,687,774
102960,234,440
7366,58,127
203176,932,218
257821,347,743
645498,846,763
105750,141,750
148944,321,464
10128,633,16
8378,118,71
380780,790,482
283716,444,639
608817,627,971
235564,329,716
541648,698,776
127110,223,570
53060,70,758
343356,403,852
32592,388,84
348150,550,633
63624,964,66
187016,194,964
155296,184,844
1003,59,17
172400,862,200
143520,230,624
682773,793,861
244392,408,599
390656,512,763
443520,704,630
146076,329,444
314568,771,408
16837,113,149
171471,183,937
790032,872,906
148810,647,230
461358,722,639
108375,375,289
73532,124,593
336582,813,414
1260,252,5
123930,405,306
237468,924,257
223728,632,354
355580,773,460
190060,442,430
587328,736,798
53958,782,69
90288,396,228
578488,668,866
2559,853,3
281820,924,305
73530,190,387
22875,25,915
308880,468,660
188000,235,800
339378,741,458
325622,779,418
329658,334,987
150336,174,864
106200,118,900
331359,651,509
2952,18,164
202176,234,864
15800,200,79
373464,702,532
610845,633,965
637364,884,721
250560,480,522
257872,568,454
130845,183,715
177354,501,354
145,29,5
293437,421,697
320150,950,337
163200,850,192
53756,151,356
445952,832,536
43617,469,93
346430,686,505
81067,259,313
204120,840,243
177408,616,288
671406,951,706
83074,569,146
140688,977,144
843264,976,864
402270,583,690
2838,473,6
211569,647,327
78177,253,309
258015,501,515
301444,572,527
5460,140,39
9765,93,105
47362,199,238
241150,530,455
163180,410,398
187891,341,551
131719,217,607
1012,22,46
755595,783,965
4235,11,385
26159,707,37
444640,794,560
68523,251,273
32076,486,66
241240,326,740
1308,654,2
16600,166,100
602,602,1
26416,508,52
45373,289,157
192962,539,358
593676,956,621
310115,845,367
8472,353,24
542965,565,961
215556,759,284
11900,20,595
111354,201,554
154269,183,843
128304,132,972
539616,616,876
154896,168,922
35754,118,303
105840,196,540
15776,464,34
247275,471,525
188916,273,692
351467,631,557
357358,394,907
153657,271,567
257070,285,902
458432,988,464
43416,108,402
30195,305,99
319536,634,504
304500,420,725
171453,853,201
258160,922,280
38007,309,123
75920,520,146
62315,515,121
240,1,240
316536,363,872
746487,867,861
627289,949,661
317855,755,421
134946,306,441
90220,130,694
42476,74,574
524426,797,658
141255,219,645
60000,120,500
724008,776,933
518535,835,621
711288,712,999
459408,816,563
112723,667,169
24334,46,529
486248,914,532
471380,980,481
196382,659,298
228032,448,509
255132,746,342
472149,783,603
472472,826,572
515120,548,940
163438,187,874
439374,786,559
274905,369,745
55776,996,56
329095,793,415
431388,828,521
382800,464,825
9614,38,253
44400,100,444
392010,895,438
159745,743,215
188795,619,305
213900,465,460
215812,331,652
837798,934,897
29520,246,120
461384,539,856
762104,878,868
623198,673,926
23874,46,519
63752,613,104
217440,302,720
292842,561,522
139520,436,320
261330,562,465
367080,532,690
42344,79,536
1485,5,297
388046,502,773
155100,660,235
96096,429,224
28623,203,141
300846,754,399
57984,604,96
256984,706,364
169925,971,175
892707,993,899
115080,840,137
3400,68,50
247453,353,701
58092,564,103
1514,2,757
52888,601,88
79488,276,288
787320,810,972
68310,110,621
10098,17,594
128440,520,247
208650,214,975
122034,258,473
416392,713,584
24870,829,30
